계약일자,발주기관,계약방법,계약명,계약금액,계약대상자
20260520,의령교육지원청,1인수의,고가수조 및 빗물이용시설 저수조 청소 실시(1회차),660000,(사)덕성장애인생활자립협회
20260417,밀양교육지원청,1인수의,"2026. 4월 밀양교육지원청 및 영재교육원 방역, 물탱크 청소",620000,정명개발
20260416,사천교육지원청,1인수의,2026년 청사 상반기 저수조 청소 및 4월 방역비 지급,590000,조일환경주식회사
20260422,경상남도교육청 함안도서관,1인수의,"2026년도 저수조 청소 및 방역 용역(방역 2회차, 저수조 청소 1회차)",450000,푸르미환경
20260416,창원동중학교,1인수의,본관 지하 저수조 청소 실시,450000,늘푸른사람들 협동조합
20260625,양산교육지원청,1인수의,2026년 상반기 양산교육지원청 저수조 청소 용역비 지출,440000,(유)라인종합관리
20260608,경상남도교육청 진주학생수영장,1인수의,2025년 상반기 저수조 청소비 지급,440000,주식회사 대하환경
20260531,진주교육지원청,1인수의,2026년 상반기 진주교육지원청 저수조 청소 대금 지급,440000,남강환경산업
20260423,사천교육지원청,1인수의,2026년 청사 상반기 저수조 청소비 지급,440000,조일환경주식회사
20260630,경상남도교육청 가야산독서당 정글북,1인수의,청사방역 및 저수조 청소비 지급,420000,엘지환경실업
20260324,경상남도교육청 가야산독서당 정글북,1인수의,청사방역 및 저수조 청소,420000,엘지환경실업
20260507,창원교육지원청,1인수의,"[원인행위] 창원교육지원청(창원, 마산, 진해) 저수조 청소 실시",407000,유림기업
20260610,경상남도교육청 사천도서관,1인수의,2026년 2분기 도서관 방역 및 저수조 청소,370000,조일환경주식회사
20260421,경상남도교육청 삼천포도서관,1인수의,2026년 상반기 도서관 방역 및 저수조 청소,370000,조일환경주식회사
20260406,경상남도교육청 사천도서관,1인수의,2026년 1분기 도서관 방역 및 저수조 청소,370000,조일환경주식회사
20260303,경상남도교육청 낙동강학생교육원,1인수의,2026. 상반기 저수조 청소 비용 지급,355000,삼미환경공사
20260331,남해교육지원청,1인수의,청사 저수조(물탱크) 청소 실시비,347600,금산종합환경
20260626,경상남도교육청 삼천포학생체육관,1인수의,2026년 삼천포학생체육관 상반기 저수조 및 물탱크 청소 실시,330000,조일환경주식회사
20260320,하동교육지원청,1인수의,하동행복마을학교 물탱크 청소 및 방역비용 지출,320000,오케이(OK) 환경
20260409,창남초등학교,1인수의,2026. 유치원 환경위생 관리 물품(물걸레 청소기)구입,319990,케이앤마켓
20260630,경상남도교육청 과학교육원,1인수의,(원인)2026년 하반기 과학교육원 저수조 청소 용역,300000,진주방역환경개발
20260602,산청교육지원청,1인수의,2026. 6월 여름철 감염병 예방을 위한 방역 및 저수조 청소비 지급,267500,(사)덕성장애인생활자립협회
20260618,창원대산중학교,1인수의,2026년 상반기 저수조 청소 작업,260000,주식회사지원시스템
20260414,군북중학교,1인수의,본관 저수조 청소 용역,253000,청솔환경
20260611,경상남도교육청 진양도서관,1인수의,2026년 6월 도서관 방역 소독 및 물탱크 청소 실시,250000,승하환경(주)
20260521,경상남도교육청 진주학생체육관,1인수의,진주학생체육관 저수조 청소 및 방역 실시,250000,경남환경방역공사
20260630,쌍백초등학교,1인수의,본관 옥상 저수조 청소비 지급,220000,주식회사 수려한환경
20260624,지족초등학교,1인수의,교직원사택 저수조(물탱크) 청소 및 소독 용역비 지출,220000,금산종합환경
20251218,경상남도교육청 경남수학문화관,1인수의,2026년 거제수학체험센터 저수조 청소 용역,220000,제일환경산업
20260511,경상남도교육청 경남수학문화관,1인수의,2026년 상반기 청사 저수조 청소비 지출,209000,가나종합관리
20260709,신현초등학교,1인수의,급식소 집수조 청소 용역,200000,명성환경
20260609,경상남도교육청 함안도서관,1인수의,2026년 하반기 저수조 청소 및 방역 용역(방역 3회차),200000,푸르미환경
20260120,경상남도교육청 함안도서관,1인수의,2026년도 저수조 청소 및 방역 용역(방역 1회차),200000,푸르미환경
20260811,의령여자고등학교,1인수의,소방용 물탱크 청소 작업,165000,(주)보건환경
20260630,경상남도교육청 거창도서관,1인수의,[계좌이체] 2026년 6월 물탱크 청소 실시,132000,거창크리닉
20260325,경상남도교육청 거창도서관,1인수의,[계좌이체] 2026년 3월 물탱크 청소 실시,132000,거창크리닉
20260402,경상남도교육청 과학교육원,1인수의,2026년 4월 저수조 청소 실시,130000,바퀴잡는사람들
20260617,경상남도교육청 통영도서관,1인수의,2026년 상반기 저수조 청소,110000,남해환경
20260521,합천평화고등학교,1인수의,본관 저수조 용역청소비 지급,110000,주식회사 수려한환경
20260318,창원진달래유치원,1인수의,환경위생 청소용품 구입비 지출,103100,11번가
