계약일자,발주기관,계약방법,목적물,계약명,계약금액,계약상대자
2026-04-15,인천운남고등학교,1인수의,용역,당직실 및 시설물청소원실 샤워실 순간온수기 설치,1750000,포시즌코리아
2026-03-03,인천영선초등학교,1인수의,용역,2026학년도 교사동 방역 및 저수조 청소 용역 실시,1746000,동연개발(주)
2026-07-21,인천용일초등학교,1인수의,용역,정화조 청소,1744620,남구정화조
2026-04-30,인천인주초등학교,1인수의,용역,정화조 청소 실시,1744620,(주)남구정화조
2026-03-27,인천연학초등학교,1인수의,용역,2026년도 정화조 청소비 지급,1744620,(주)남구정화조
2026-06-19,부평서중학교,1인수의,용역,2026년 정화조 청소비 지급,1732000,북구환경 (주)
2026-04-27,인천만수초등학교,1인수의,용역,교내 선풍기 청소 실시,1728000,(주)더오름기획
2026-05-20,가림고등학교,1인수의,용역,2026년도 정화조 청소 실시,1720780,청명환경
2026-05-14,청학중학교,1인수의,용역,교내 선풍기 청소 실시,1717100,(주)새한에이치엠
2026-04-29,인천신현북초등학교,1인수의,용역,교내 선풍기 청소 실시,1717100,와우홈크리닝
2026-04-02,작전중학교,1인수의,용역,천정형 및 벽걸이 선풍기 청소,1709400,와우홈크리닝
2026-04-17,인천작전초등학교,1인수의,용역,각실 선풍기 청소 작업,1699500,제이원시스템
2026-04-06,인천학익초등학교,1인수의,용역,"본관, 신관, 급식소 선풍기 청소",1699500,제이원시스템
2026-05-21,인천미송유치원,1인수의,용역,"각종 기계설비(냉난방기, 공기청정기, 에어커튼) 필터 교체 및 청소",1698400,블루윈드
2026-04-16,인천석암초등학교,1인수의,용역,2026학년도 선풍기 청소비 지급,1695000,준설비 주식회사
2026-04-09,인천서화초등학교,1인수의,용역,"초등, 유치원 어린이 놀이시설 청소 실시",1680000,온누리종합환경
2026-06-18,북인천여자중학교,1인수의,용역,정화조 청소 실시,1671000,황금환경(주)
2026-03-09,상인천중학교,1인수의,용역,2025 정화조 청소 실시,1671000,남해환경(주)
2026-06-11,가좌고등학교,1인수의,용역,2026년 정화조 청소 실시,1664000,(주)정진환경
2026-04-17,안남고등학교,1인수의,용역,선풍기 청소 실시,1663200,고구려환경
2026-04-27,인천경서초등학교,1인수의,용역,경서초 냉방기 가동을 위해 청소 실시,1651000,하나공조
2026-07-24,임학중학교,1인수의,용역,급식실 집수정 내부 탱크 청소,1650000,주식회사 비비에스
2026-07-22,백석고등학교,1인수의,용역,급식실 후드 및 바닥 청소,1650000,주식회사 아톰
2026-05-29,인천서창초등학교,1인수의,용역,2026학년도 학교급식 시설 청소(용역)비 지원사업에 따른 조리실 후드 및 바닥 청소 실시,1650000,주식회사아톰
2026-05-22,인천청람초등학교,1인수의,용역,2026학년도 학교도서관 대청소,1650000,제이디아이
2026-05-22,인천부내초등학교,1인수의,용역,2026년도 선풍기 청소 실시,1650000,주식회사 크린웰
2026-04-27,마니산유치원,1인수의,용역,유치원 외부 피난계단로 외벽 청소 실시,1650000,(주)쎈큐
2026-04-17,강남중학교,1인수의,용역,"본관 에어컨필터,선풍기, 길상관, 학생체육관 화장실 청소실시",1650000,늘푸른세상주식회사
2026-04-09,인천부개초등학교,1인수의,용역,본관 및 신관 천장형 선풍기 청소 실시,1650000,하나공조
2026-03-06,인천하정초등학교,1인수의,용역,학교 건물 현관 출입문(유리문) 청소 실시,1650000,주식회사 신진환경
2026-03-06,인천삼목초등학교,1인수의,용역,오수관 준설(청소 및 퇴적물 제거) 작업,1650000,주식회사 제이원개발
2026-07-02,선화여자중학교,1인수의,용역,정화조 청소 실시(2026년 7월)(7/24),1648120,(주)남구정화조
2026-05-26,산곡여자중학교,1인수의,용역,정화조 청소 실시,1641000,삼우환경
2026-03-25,인천서면초등학교,1인수의,용역,2026학년도 교내 선풍기 청소비,1640100,주식회사 서광에스케이
2026-04-13,인천만석초등학교,1인수의,용역,교실 및 특별실 선풍기 청소 실시,1628000,서광에스케이
2026-05-07,인천운서중학교,1인수의,용역,2026년 에너지절약 및 쾌적한 교육환경 제공 위한 선풍기 청소 실시,1609300,주식회사 춘풍
2026-04-29,인천작동초등학교,1인수의,용역,선풍기 청소,1601600,가람솔
2026-07-23,인천건지초등학교,1인수의,용역,2026학년도 상반기 급식실 후드 및 기타 청소비 지급,1600000,주식회사 에어솔환경 경인지점
2026-04-30,인천소양초등학교,1인수의,용역,2026년 하절기 대비 선풍기 및 화장실 환풍기 청소,1600000,주식회사 더블유제이코리아
2026-04-06,인천남동초등학교,1인수의,용역,각실 천정형 선풍기 청소 작업비 지급,1590600,주식회사 봄날엔청소
2026-03-11,용현중학교,1인수의,용역,정화조 청소 실시,1590200,(주)남구정화조
2026-04-22,인천만수고등학교,1인수의,용역,교실 및 특별실 선풍기 청소,1570800,블루윈드
2026-04-15,선학중학교,1인수의,용역,각 실별 선풍기 청소,1570000,나우종합관리주식회사
2026-03-17,인천서화초등학교,1인수의,용역,2026학년도 학교 소독 및 저수조 청소 실시,1570000,정도환경
2026-04-24,관교중학교,1인수의,용역,"2026학년도 여름을 맞이하여 교실, 특별실 및 급식실 선풍기 청소 실시",1555400,제이원시스템
2026-07-24,강남중학교,1인수의,용역,2026학년도 상반기 급식실 후드 및 급식시설 대청소 실시,1550000,청소공방
2026-07-23,인천용현남초등학교,1인수의,용역,2026년 상반기 급식실 후드 및 바닥 청소 비용 지급,1550000,주식회사아톰
2026-04-20,석정중학교,1인수의,용역,교내 각 실 선풍기 청소,1547700,와우홈크리닝
2026-04-20,인천천마초등학교,1인수의,용역,정화조 청소 실시,1536210,청명환경
2026-06-25,연수중학교,1인수의,용역,별관동 옥상 낙엽 청소 및 환경정비,1510000,주식회사 크린웰
2026-05-18,인천송일초등학교,1인수의,용역,하절기 냉난방기 필터 청소,1507000,(주)새한에이치엠
2026-05-26,인천금곡초등학교,1인수의,용역,교실 및 특별실 선풍기 청소비 지급(S2B),1501500,두영
2026-07-24,인천구산초등학교,1인수의,용역,2026학년도 급식실 후드 청소(상반기),1500000,주식회사 아톰
2026-07-23,작전중학교,1인수의,용역,2026년도 급식실 청소 실시,1500000,주식회사 아톰
2026-07-21,인천봉수초등학교,1인수의,용역,2026년 급식실 학생식당 바닥 청소 비용 지급,1500000,주식회사 아톰
2026-07-20,인천부개서초등학교,1인수의,용역,급식실 후드청소비 지급,1500000,(주) 도담교육
2026-07-15,인천해서초등학교,1인수의,용역,급식실 후드 및 기타 급식시설 청소(용역)비 지급,1500000,주식회사 아톰
2026-07-15,인천아람초등학교,1인수의,용역,급식실 후드 청소,1500000,인천우진환경
